Dep,Dest,Evenodd,Restriction,Route
OMDB,EGKK,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 SRT UL614 GEM UT32 BUK UA4 BKZ UL615 VADEN L615 DOLAP DCT ROTAR DCT AKADO DCT LAPAB DCT VIC DCT DIBAX DCT SUXAN UL613 DIDOR UT10 IRBAL UT421 KUNAV
OMDB,EGLL,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM L852 KOMAN L602 TIXIP Q26 DEGET DCT ABETI DCT TAGAS DCT RENKA UL610 BATTY L608 LOGAN
OMDB,EGNT,EVEN,,RIDAP M557 TUMAK T557 RAGAS UT430 LAGSA UL223 UMH UL852 NEGEM T746 ARGES DCT BUDOP DCT PATAK DCT LALES DCT BABUS DCT VARIK DCT ROBEL L602 NALAX L46 RIMTO
OMDB,EGNT,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ARGES L619 KARIL DCT ABULI DCT MAKAL DCT VARIK DCT TAMEB L602 NALAX L46 RIMTO
OMDB,EGNT,EVEN,,DAVMO M318 GABKO M317 ROTAL UP574 SYZ UT430 VUVAG UL333 DASIS UR660 ERZ UW704 CRM UL746 ODERO L746 BALBI M747 ENIMA L622 NARKA DCT AMRAX DCT LALES DCT BABUS DCT VARIK DCT TAMEB L602 NALAX L46 RIMTO
OMDB,EGNT,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ARGES L619 KARIL DCT PITOK DCT TEPNI DCT BILNA DCT SOPAV DCT REGLI L617 ADVAB L619 DENKO L996 VAVUN M602 BINKA DCT KOSEB DCT BAVTA L983 CUTEL UP16 ROBEM
OMDB,EGPF,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ENIMA L622 NARKA DCT AMRAX DCT LALES DCT BABUS DCT VARIK DCT TAMEB L602 EMLON M79 NATEB Y96 AGPED
OMDB,EGPF,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ARGES L619 KARIL DCT PITOK DCT TEPNI DCT BILNA L617 ADVAB L619 DENKO L996 VAVUN M602 BINKA DCT KOSEB DCT BAVTA L983 CUTEL UP16 NATEB Y96 AGPED
OMDB,EGPF,EVEN,,DAVMO M318 ASMUK W32 ROVAD UL125 ELEDI N39 PIROG N23 MOTEG B945 DETIR R704 ARNIS T639 BUTRI N39 TE G724 BUGOR N9 BATKU DCT EKLIN P141 LEP Z442 GELDA DCT MADAG M869 EVAKI T55 CUTEL UP16 NATEB Y96 AGPED
OMDB,EGPF,EVEN,,DAVMO M318 ASMUK W32 ROVAD UL125 ELEDI N39 PIROG N23 MOTEG B945 DETIR R704 ARNIS T639 BUTRI N39 TE T563 UK L169 TU R58 NOTAR Y168 DOHOR DCT NEBSI P607 TEB N623 BEDLA P609 TOR Z132 ULMUG M125 ZOL P600 KLONN UP600 PTH
